	domain	phylum	order	class	family	genus	quality
2170	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	|79
2195	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	|99
2198	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|99
2204	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	|98
2207	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
2222	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Atopobium	|99
2226	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	|98
2235	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
2237	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	|73
2238	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|95
2241	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	unclassified	|100
2247	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	|97
2255	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium	|100
2261	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	|100
2263	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	unclassified	|86
2265	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	|99
2271	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	|99
2280	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	|100
2287	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	|97
2291	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|99
2292	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|76
2294	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
2295	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	unclassified	|98
2302	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	|87
2304	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	|100
2307	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Incertae_Sedis	|89
2329	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_SS1	|100
2331	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|99
2340	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	|97
2348	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	|100
2351	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	|100
2357	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	|100
2358	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Mogibacterium	|96
2359	Bacteria	Cyanobacteria	Chloroplast	unclassified	unclassified	unclassified	|100
2361	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	|100
2363	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
2365	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
2372	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	unclassified	|100
2377	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|86
2387	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Tepidimonas	|99
2419	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	|85
2420	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
