,SampleID,Env,Region,Contribution
SRR5602182,,Senior,Jiangsu,0.6380184
SRR5602182,,Young,Jiangsu,0.3619816
SRR5602193,,Senior,Jiangsu,0.16943006
SRR5602193,,Young,Jiangsu,0.83057
SRR5602210,,Senior,Jiangsu,0.17788649
SRR5602210,,Young,Jiangsu,0.8221135
SRR5602220,,Senior,Jiangsu,0.56122303
SRR5602220,,Young,Jiangsu,0.43877697
SRR5602234,,Senior,Jiangsu,0.60364705
SRR5602234,,Young,Jiangsu,0.39635292
SRR5602256,,Senior,Jiangsu,0.16915369
SRR5602256,,Young,Jiangsu,0.8308463
SRR5602260,,Senior,Jiangsu,0.63022304
SRR5602260,,Young,Jiangsu,0.36977693
SRR5602284,,Senior,Jiangsu,0.6380743
SRR5602284,,Young,Jiangsu,0.36192575
SRR5602290,,Senior,Jiangsu,0.63029873
SRR5602290,,Young,Jiangsu,0.3697013
SRR5602324,,Senior,Jiangsu,0.5153652
SRR5602324,,Young,Jiangsu,0.48463482
SRR5602333,,Senior,Jiangsu,0.622756
SRR5602333,,Young,Jiangsu,0.377244
SRR5602335,,Senior,Jiangsu,0.60506225
SRR5602335,,Young,Jiangsu,0.39493784
SRR5602345,,Senior,Jiangsu,0.63011575
SRR5602345,,Young,Jiangsu,0.36988425
SRR5602349,,Senior,Jiangsu,0.15387402
SRR5602349,,Young,Jiangsu,0.84612596
SRR5602351,,Senior,Jiangsu,0.64113915
SRR5602351,,Young,Jiangsu,0.35886085
C010,,Senior,Italy,0.46873945
C010,,Young,Italy,0.53126055
C012,,Senior,Italy,0.17058027
C012,,Young,Italy,0.8294197
C021,,Senior,Italy,0.68364596
C021,,Young,Italy,0.316354
C042,,Senior,Italy,0.045823086
C042,,Young,Italy,0.9541769
C052,,Senior,Italy,0.6835315
C052,,Young,Italy,0.31646842
S010,,Senior,Italy,0.13203394
S010,,Young,Italy,0.86796606
S020,,Senior,Italy,0.681127
S020,,Young,Italy,0.31887296
S030,,Senior,Italy,0.15115212
S030,,Young,Italy,0.8488479
S050,,Senior,Italy,0.22885384
S050,,Young,Italy,0.7711461
S080,,Senior,Italy,0.68364596
S080,,Young,Italy,0.316354
S100,,Senior,Italy,0.47014225
S100,,Young,Italy,0.5298578
S110,,Senior,Italy,0.13015537
S110,,Young,Italy,0.8698447
S120,,Senior,Italy,0.6833322
S120,,Young,Italy,0.31666782
S130,,Senior,Italy,0.52163005
S130,,Young,Italy,0.47836995
S150,,Senior,Italy,0.12380315
S150,,Young,Italy,0.87619686
S180,,Senior,Italy,0.68354577
S180,,Young,Italy,0.3164543
S200,,Senior,Italy,0.68560356
S200,,Young,Italy,0.3143964
S210,,Senior,Italy,0.03391559
S210,,Young,Italy,0.9660845
S220,,Senior,Italy,0.668116
S220,,Young,Italy,0.33188406
S240,,Senior,Italy,0.19666195
S240,,Young,Italy,0.803338
S260,,Senior,Italy,0.62052655
S260,,Young,Italy,0.37947345
S280,,Senior,Italy,0.6873317
S280,,Young,Italy,0.3126683
S290,,Senior,Italy,0.6584424
S290,,Young,Italy,0.34155762
S320,,Senior,Italy,0.28958976
S320,,Young,Italy,0.71041024
S330,,Senior,Italy,0.6820673
S330,,Young,Italy,0.3179327
SRR3679961,,Senior,Sichuan,0.68317604
SRR3679961,,Young,Sichuan,0.31682393
SRR3679980,,Senior,Sichuan,0.68364596
SRR3679980,,Young,Sichuan,0.316354
SRR5602010,,Senior,Jiangsu,0.6831667
SRR5602010,,Young,Jiangsu,0.31683335
SRR5602016,,Senior,Jiangsu,0.68065196
SRR5602016,,Young,Jiangsu,0.31934807
SRR5602092,,Senior,Jiangsu,0.6600502
SRR5602092,,Young,Jiangsu,0.33994976
SRR5602119,,Senior,Jiangsu,0.6712782
SRR5602119,,Young,Jiangsu,0.32872185
SRR5602125,,Senior,Jiangsu,0.12269986
SRR5602125,,Young,Jiangsu,0.87730014
SRR5602134,,Senior,Jiangsu,0.6829611
SRR5602134,,Young,Jiangsu,0.3170389
SRR5602138,,Senior,Jiangsu,0.59666336
SRR5602138,,Young,Jiangsu,0.4033366
