,SampleID,Env,Region,Contribution
SRR5602263,,Young,Jiangsu,0.42475915
SRR5602264,,Senior,Jiangsu,0.57266635
SRR5602264,,Young,Jiangsu,0.42733365
SRR5602267,,Senior,Jiangsu,0.37009063
SRR5602267,,Young,Jiangsu,0.6299093
SRR5602279,,Senior,Jiangsu,0.57388556
SRR5602279,,Young,Jiangsu,0.42611444
SRR5602316,,Senior,Jiangsu,0.46734178
SRR5602316,,Young,Jiangsu,0.5326582
SRR5602321,,Senior,Jiangsu,0.5738855
SRR5602321,,Young,Jiangsu,0.42611453
SRR5602339,,Senior,Jiangsu,0.57270575
SRR5602339,,Young,Jiangsu,0.42729422
SRR5602340,,Senior,Jiangsu,0.57388556
SRR5602340,,Young,Jiangsu,0.42611444
SRR5602341,,Senior,Jiangsu,0.57388556
SRR5602341,,Young,Jiangsu,0.42611444
SRR5602343,,Senior,Jiangsu,0.179592
SRR5602343,,Young,Jiangsu,0.82040805
SRR5610010,,Senior,Jiangsu,0.5727307
SRR5610010,,Young,Jiangsu,0.42726922
SRR5610014,,Senior,Jiangsu,0.57388556
SRR5610014,,Young,Jiangsu,0.42611444
SRR5802183,,Senior,Jiangsu,0.57388556
SRR5802183,,Young,Jiangsu,0.42611444
K113,,Senior,Italy,0.44074413
K113,,Young,Italy,0.55925584
K124,,Senior,Italy,0.02956564
K124,,Young,Italy,0.9704343
K304,,Senior,Italy,0.13645472
K304,,Young,Italy,0.86354536
K316,,Senior,Italy,0.04394164
K316,,Young,Italy,0.9560583
SRR3679973,,Senior,Sichuan,0.028621485
SRR3679973,,Young,Sichuan,0.9713785
SRR3679976,,Senior,Sichuan,0.5181852
SRR3679976,,Young,Sichuan,0.4818148
SRR3679983,,Senior,Sichuan,0.5704015
SRR3679983,,Young,Sichuan,0.42959848
SRR3679985,,Senior,Sichuan,0.5170536
SRR3679985,,Young,Sichuan,0.4829465
SRR3679987,,Senior,Sichuan,0.2288805
SRR3679987,,Young,Sichuan,0.7711195
SRR3679988,,Senior,Sichuan,0.39703694
SRR3679988,,Young,Sichuan,0.6029631
SRR3679989,,Senior,Sichuan,0.42879662
SRR3679989,,Young,Sichuan,0.57120335
SRR3679998,,Senior,Sichuan,0.5180555
SRR3679998,,Young,Sichuan,0.4819446
SRR3680028,,Senior,Sichuan,0.5465698
