,SampleID,Env,Region,Contribution
SRR5602343,,Young,Jiangsu,0.84696954
SRR5610010,,Senior,Jiangsu,0.75991744
SRR5610010,,Young,Jiangsu,0.24008252
SRR5610014,,Senior,Jiangsu,0.7694529
SRR5610014,,Young,Jiangsu,0.23054707
SRR5802183,,Senior,Jiangsu,0.15077513
SRR5802183,,Young,Jiangsu,0.8492249
K113,,Senior,Italy,0.64043903
K113,,Young,Italy,0.359561
K124,,Senior,Italy,0.14537133
K124,,Young,Italy,0.8546287
K304,,Senior,Italy,0.47053078
K304,,Young,Italy,0.52946925
K316,,Senior,Italy,0.14544536
K316,,Young,Italy,0.8545546
SRR3679973,,Senior,Sichuan,0.14540026
SRR3679973,,Young,Sichuan,0.8545998
SRR3679976,,Senior,Sichuan,0.26065907
SRR3679976,,Young,Sichuan,0.7393409
SRR3679983,,Senior,Sichuan,0.7480992
SRR3679983,,Young,Sichuan,0.25190073
SRR3679985,,Senior,Sichuan,0.7444828
SRR3679985,,Young,Sichuan,0.25551718
SRR3679987,,Senior,Sichuan,0.17160837
SRR3679987,,Young,Sichuan,0.8283916
SRR3679988,,Senior,Sichuan,0.75183666
SRR3679988,,Young,Sichuan,0.24816333
SRR3679989,,Senior,Sichuan,0.7389361
SRR3679989,,Young,Sichuan,0.26106396
SRR3679998,,Senior,Sichuan,0.7122027
SRR3679998,,Young,Sichuan,0.28779724
SRR3680028,,Senior,Sichuan,0.14684395
SRR3680028,,Young,Sichuan,0.85315603
SRR3680042,,Senior,Sichuan,0.69236004
SRR3680042,,Young,Sichuan,0.30763993
SRR3680055,,Senior,Sichuan,0.7484981
SRR3680055,,Young,Sichuan,0.25150198
SRR3680074,,Senior,Sichuan,0.7173127
SRR3680074,,Young,Sichuan,0.28268734
SRR3680078,,Senior,Sichuan,0.15481558
SRR3680078,,Young,Sichuan,0.8451844
SRR3680085,,Senior,Sichuan,0.7482242
SRR3680085,,Young,Sichuan,0.2517758
SRR5601924,,Senior,Jiangsu,0.2679208
SRR5601924,,Young,Jiangsu,0.7320792
SRR5601926,,Senior,Jiangsu,0.71501017
SRR5601926,,Young,Jiangsu,0.28498977
SRR5601928,,Senior,Jiangsu,0.74443066
SRR5601928,,Young,Jiangsu,0.25556928
SRR5601992,,Senior,Jiangsu,0.21289656
SRR5601992,,Young,Jiangsu,0.7871034
SRR5601996,,Senior,Jiangsu,0.7484981
SRR5601996,,Young,Jiangsu,0.25150198
SRR5602020,,Senior,Jiangsu,0.74849
SRR5602020,,Young,Jiangsu,0.25151
SRR5602022,,Senior,Jiangsu,0.66158795
SRR5602022,,Young,Jiangsu,0.33841202
SRR5602029,,Senior,Jiangsu,0.7299647
SRR5602029,,Young,Jiangsu,0.27003533
SRR5602030,,Senior,Jiangsu,0.7484972
SRR5602030,,Young,Jiangsu,0.25150278
SRR5602035,,Senior,Jiangsu,0.7158885
SRR5602035,,Young,Jiangsu,0.28411156
SRR5602066,,Senior,Jiangsu,0.7103677
SRR5602066,,Young,Jiangsu,0.28963235
SRR5602076,,Senior,Jiangsu,0.25153074
SRR5602076,,Young,Jiangsu,0.7484693
SRR5602114,,Senior,Jiangsu,0.73636806
SRR5602114,,Young,Jiangsu,0.2636319
SRR5602122,,Senior,Jiangsu,0.18364047
SRR5602122,,Young,Jiangsu,0.81635946
SRR5602131,,Senior,Jiangsu,0.63526684
SRR5602131,,Young,Jiangsu,0.36473313
SRR5602132,,Senior,Jiangsu,0.6731948
SRR5602132,,Young,Jiangsu,0.3268052
SRR5602135,,Senior,Jiangsu,0.16531439
SRR5602135,,Young,Jiangsu,0.8346856
SRR5602137,,Senior,Jiangsu,0.7484981
SRR5602137,,Young,Jiangsu,0.25150198
SRR5602141,,Senior,Jiangsu,0.41690227
SRR5602141,,Young,Jiangsu,0.58309776
SRR5602147,,Senior,Jiangsu,0.7495348
SRR5602147,,Young,Jiangsu,0.25046524
SRR5602166,,Senior,Jiangsu,0.7363916
SRR5602166,,Young,Jiangsu,0.2636084
SRR5602169,,Senior,Jiangsu,0.7484981
SRR5602169,,Young,Jiangsu,0.25150198
SRR5602171,,Senior,Jiangsu,0.7481603
SRR5602171,,Young,Jiangsu,0.25183973
SRR5602173,,Senior,Jiangsu,0.7415006
SRR5602173,,Young,Jiangsu,0.25849944
SRR5602174,,Senior,Jiangsu,0.74376744
SRR5602174,,Young,Jiangsu,0.2562326
SRR5602178,,Senior,Jiangsu,0.15947703
SRR5602178,,Young,Jiangsu,0.840523
SRR5602180,,Senior,Jiangsu,0.7483517
SRR5602180,,Young,Jiangsu,0.25164834
SRR5602185,,Senior,Jiangsu,0.74806565
SRR5602185,,Young,Jiangsu,0.2519343
SRR5602198,,Senior,Jiangsu,0.7483081
SRR5602198,,Young,Jiangsu,0.2516919
SRR5602213,,Senior,Jiangsu,0.74611914
SRR5602213,,Young,Jiangsu,0.25388086
SRR5602230,,Senior,Jiangsu,0.748417
SRR5602230,,Young,Jiangsu,0.25158298
SRR5602281,,Senior,Jiangsu,0.42087018
SRR5602281,,Young,Jiangsu,0.5791298
SRR5602294,,Senior,Jiangsu,0.74629575
SRR5602294,,Young,Jiangsu,0.2537043
SRR5602341,,Senior,Jiangsu,0.14540026
SRR5602341,,Young,Jiangsu,0.8545998
