,mean,std
4047,0.7750439047813416,0.22826722264289856
4048,0.0,0.0
4049,0.0,0.0
4050,0.7750439047813416,0.22826722264289856
4051,4.964892941217158e-09,1.2141030936163588e-07
4052,0.0,0.0
4053,0.7750439047813416,0.22826722264289856
4054,4.964892941217158e-09,1.2141030936163588e-07
4055,0.0,0.0
4056,0.7750439047813416,0.22826722264289856
4057,4.964892941217158e-09,1.2141030936163588e-07
4058,0.0,0.0
4059,0.7750439047813416,0.22826722264289856
4060,4.964892941217158e-09,1.2141030936163588e-07
4061,0.0,0.0
4062,0.7750439047813416,0.22826722264289856
4063,4.964892941217158e-09,1.2141030936163588e-07
4064,0.0,0.0
4065,0.7750439047813416,0.22826722264289856
4066,4.964892941217158e-09,1.2141030936163588e-07
4067,0.0,0.0
4068,0.7750439047813416,0.22826722264289856
4069,4.964892941217158e-09,1.2141030936163588e-07
4070,0.0,0.0
4071,0.7750439047813416,0.22826722264289856
4072,5.398407765255797e-08,8.592141398366948e-07
4073,0.0,0.0
4074,0.00013935475726611912,0.0006814718944951892
4075,0.0,0.0
4076,0.0,0.0
4077,0.0,0.0
4078,0.0,0.0
4079,0.0,0.0
4080,0.15371109545230865,0.16902831196784973
4081,3.9005197322694585e-05,8.606934716226533e-05
4082,0.0,0.0
4083,0.15371109545230865,0.16902831196784973
4084,3.9005197322694585e-05,8.606934716226533e-05
4085,0.0,0.0
4086,0.15371109545230865,0.16902831196784973
4087,3.9005197322694585e-05,8.606934716226533e-05
4088,0.0,0.0
4089,0.15371109545230865,0.16902831196784973
4090,3.9005197322694585e-05,8.606934716226533e-05
4091,0.0,0.0
4092,0.15371109545230865,0.16902831196784973
4093,0.05560542643070221,0.09853364527225494
4094,1.1930727623621351e-06,5.324269750417443e-06
4095,0.15371109545230865,0.16902831196784973
4096,0.0,0.0
4097,0.0,0.0
4098,0.15371109545230865,0.16902831196784973
4099,8.670033275848255e-05,0.0002953473012894392
4100,0.0,0.0
4101,0.0,0.0
4102,0.0,0.0
4103,0.0,0.0
4104,0.0,0.0
4105,0.0,0.0
4106,0.0,0.0
4107,0.022549185901880264,0.05223629251122475
4108,0.0,0.0
4109,0.0,0.0
4110,3.915488196071237e-05,0.00010668834875104949
4111,9.207045081893739e-08,1.7689133073872654e-06
4112,9.207045081893739e-08,1.7689133073872654e-06
4113,0.022549185901880264,0.05223629251122475
4114,0.0,0.0
4115,0.0,0.0
4116,0.022549185901880264,0.05223629251122475
4117,0.0,0.0
4118,0.0,0.0
4119,0.022549185901880264,0.05223629251122475
4120,0.0,0.0
4121,0.0,0.0
4122,0.022549185901880264,0.05223629251122475
4123,0.0021071999799460173,0.0036986449267715216
4124,0.0,0.0
4125,0.022549185901880264,0.05223629251122475
4126,0.0,0.0
4127,0.0,0.0
4128,0.022549185901880264,0.05223629251122475
4129,0.0,0.0
4130,0.0,0.0
4131,0.022549185901880264,0.05223629251122475
4132,0.01675563119351864,0.048350367695093155
4133,0.0,0.0
4134,3.788413596339524e-05,0.00036895147059112787
4135,0.0,0.0
4136,0.0,0.0
4137,0.006872742902487516,0.021944232285022736
4138,0.0,0.0
4139,0.0,0.0
4140,0.0,0.0
4141,0.0,0.0
4142,0.0,0.0
