SampleID,Env,Contribution
TZX20,Pupils,0.13769351
TZX21,Pupils,0.13681926
TZX23,Pupils,0.22431143
TZX23.2,Pupils,0.12688197
TZX24,Pupils,0.1287494
TZX25,Pupils,0.20577322
TZX26,Pupils,0.22541405
TZX27,Pupils,0.13677552
TZX28,Pupils,0.12839614
TZX29,Pupils,0.17812565
TZX3,Pupils,0.27700263
TZX30,Pupils,0.14324735
TZX31,Pupils,0.14049385
TZX32,Pupils,0.14040516
TZX33,Pupils,0.28355837
TZX34,Pupils,0.14700387
TZX35,Pupils,0.13431618
TZX36,Pupils,0.14325574
TZX37,Pupils,0.13439527
TZX38,Pupils,0.23356573
TZX39,Pupils,0.73148286
TZX4,Pupils,0.14354548
TZX40,Pupils,0.14376573
TZX41,Pupils,0.23304819
TZX42,Pupils,0.34840414
TZX43,Pupils,0.30914825
TZX44,Pupils,0.7869744
TZX45,Pupils,0.15993005
TZX46,Pupils,0.7370312
TZX47,Pupils,0.15368287
TZX48,Pupils,0.13562198
TZX49,Pupils,0.12543748
TZX5,Pupils,0.14165486
TZX50,Pupils,0.12637386
TZX51,Pupils,0.14196175
TZX52,Pupils,0.14033839
TZX53,Pupils,0.23308823
TZX54,Pupils,0.21328244
TZX55,Pupils,0.12924422
TZX56,Pupils,0.14251079
TZX57,Pupils,0.12561649
TZX58,Pupils,0.13040964
TZX59,Pupils,0.39930198
TZX6,Pupils,0.18975417
TZX60,Pupils,0.13403918
TZX61,Pupils,0.23220322
TZX62,Pupils,0.34871408
TZX63,Pupils,0.12656131
TZX64,Pupils,0.16447654
TZX65,Pupils,0.17482704
TZX66,Pupils,0.16821301
TZX67,Pupils,0.2180473
TZX68,Pupils,0.23135176
TZX69,Pupils,0.12528473
TZX7,Pupils,0.12551846
TZX70,Pupils,0.12878868
TZX71,Pupils,0.14169389
TZX72,Pupils,0.21153751
TZX73,Pupils,0.14296937
TZX74,Pupils,0.22287343
TZX75,Pupils,0.36823514
TZX76,Pupils,0.12632836
TZX77,Pupils,0.27433097
TZX78,Pupils,0.14305742
TZX79,Pupils,0.1255043
TZX8,Pupils,0.2325064
TZX80,Pupils,0.13197286
TZX81,Pupils,0.14633814
TZX82,Pupils,0.12835123
TZX83,Pupils,0.14031613
TZX84,Pupils,0.7767808
TZX85,Pupils,0.52819246
TZX86,Pupils,0.125322
TZX87,Pupils,0.43113047
TZX88,Pupils,0.3493995
TZX9,Pupils,0.40973553
TZX90,Pupils,0.45316637
TZX92,Pupils,0.40000954
TZX94,Pupils,0.13897492
TZX95,Pupils,0.17094819
TZX96,Pupils,0.6484656
TZX97,Pupils,0.22935125
TZX98,Pupils,0.14322115
TZX99,Pupils,0.5115506
Q108,Pupils,0.12562776
Q120,Pupils,0.12529454
Q123,Pupils,0.12573685
Q126,Pupils,0.1309162
Q32,Pupils,0.13052134
Q41,Pupils,0.13854615
Q47,Pupils,0.12711066
TQ034,Pupils,0.1257015
TQ052,Pupils,0.12795848
TQ060,Pupils,0.13241681
TQ062,Pupils,0.12678526
TQ064,Pupils,0.12692057
