,root:Pupils,root:kindergarten,root:mid_age,root:mid_school,root:youth
DXX9,0.15301006,0.16630308,0.11331677,0.14299682,0.42437333
TXX1,0.1557506,0.1304567,0.14681034,0.12199261,0.4449897
TXX10,0.2845767,0.06434268,0.08707567,0.39233202,0.17167298
TXX101,0.26780495,0.04046283,0.21179724,0.17847542,0.30145955
TXX102,0.2746679,0.039971642,0.10268812,0.22661966,0.3560527
TXX103,0.4643757,0.010994576,0.18292984,0.14554732,0.19615258
TXX104,0.16407941,0.16955824,0.089958206,0.19492483,0.38147923
TXX105,0.26425081,0.043035693,0.10175535,0.21130961,0.37964854
TXX106,0.11308935,0.25976223,0.26417103,0.022793977,0.3401834
TXX107,0.17046839,0.17963637,0.06855426,0.26243523,0.31890577
TXX108,0.15201025,0.17752765,0.11730608,0.12897724,0.42417884
TXX109,0.29603523,0.0352341,0.13505422,0.21728523,0.3163913
TXX11,0.18021855,0.11761374,0.075924315,0.18613142,0.44011205
TXX111,0.20538671,0.115185104,0.10152008,0.21627608,0.36163202
TXX112,0.1363128,0.2038341,0.12919384,0.12608197,0.40457729
TXX113,0.24657653,0.11001715,0.12051798,0.20470361,0.31818473
TXX114,0.12575352,0.3337015,0.123148665,0.070853814,0.34654254
TXX115,0.1524324,0.13129681,0.11924349,0.12983914,0.46718815
TXX118,0.31887582,0.030588796,0.11787281,0.23070662,0.301956
TXX119,0.21934555,0.13361484,0.095890775,0.20934328,0.34180558
TXX12,0.28259084,0.1034106,0.15633662,0.14875391,0.30890808
TXX120,0.38668528,0.054017927,0.15377943,0.18521586,0.22030148
TXX121,0.23620938,0.12149607,0.11031172,0.21829492,0.313688
TXX122,0.1610893,0.20016482,0.15151753,0.07781851,0.40940985
TXX123,0.21920821,0.13580063,0.09963486,0.23207764,0.31327862
TXX124,0.24327892,0.048341926,0.097210914,0.18993197,0.42123625
TXX125,0.264532,0.08395683,0.24879535,0.12574641,0.27696937
TXX126,0.25523403,0.039236035,0.27979028,0.07481546,0.35092413
TXX127,0.36637652,0.040284395,0.18861163,0.1918206,0.21290694
TXX128,0.12856895,0.20749277,0.09631016,0.13795967,0.42966855
TXX129,0.16670293,0.11571598,0.22348225,0.14219098,0.35190788
TXX13,0.5521418,0.03254653,0.3035552,0.05552117,0.0562353
TXX130,0.23588876,0.052462585,0.14292845,0.19533958,0.37338066
TXX131,0.12956852,0.14238599,0.14207724,0.08826756,0.49770063
TXX132,0.39994657,0.041710638,0.10517646,0.18789405,0.26527235
TXX133,0.22136194,0.10499987,0.14767502,0.15625754,0.36970562
TXX134,0.3129306,0.03678779,0.22272223,0.1265953,0.30096412
TXX135,0.16735528,0.13151282,0.23915234,0.13693741,0.32504222
TXX137,0.185079,0.14910537,0.07600335,0.24024296,0.34956938
TXX138,0.1807561,0.16716656,0.06952208,0.2635912,0.31896406
TXX139,0.22885273,0.14921674,0.24596123,0.110019766,0.26594958
TXX14,0.16255279,0.15933298,0.08823278,0.19894281,0.39093867
TXX140,0.17060672,0.17746183,0.10515935,0.1687085,0.3780636
TXX141,0.09629075,0.4494021,0.12688603,0.038322244,0.2890988
TXX142,0.18609717,0.08933476,0.38227195,0.1310087,0.21128742
TXX143,0.1897904,0.1671729,0.07416754,0.26526168,0.30360746
TXX144,0.12914377,0.32421347,0.112140395,0.080311924,0.35419044
TXX145,0.31605047,0.030317828,0.13269049,0.21950503,0.30143622
TXX146,0.271234,0.10328287,0.09113872,0.15382724,0.38051715
TXX147,0.15624414,0.07100801,0.07194328,0.1124258,0.58837867
TXX148,0.17692651,0.3055673,0.21993186,0.04763427,0.24994
TXX149,0.10834762,0.09931251,0.16858923,0.06693126,0.5568193
TXX15,0.18478607,0.17188501,0.06871352,0.27509877,0.2995166
TXX151,0.29888362,0.06522254,0.1589971,0.3175043,0.15939239
TXX152,0.16623445,0.1733813,0.06722598,0.26044708,0.33271125
TXX16,0.20865838,0.123885855,0.21614039,0.1365104,0.3148049
TXX17,0.13737573,0.17048714,0.08869256,0.16618608,0.43725857
TXX18,0.18837862,0.16870864,0.07453598,0.26564518,0.3027315
TXX19,0.15403284,0.23182085,0.10956097,0.116291516,0.38829374
TXX2,0.18447486,0.07191638,0.14099674,0.20554471,0.39706734
TXX20,0.30855176,0.057121314,0.29478768,0.136366,0.20317326
TXX21,0.17201139,0.11522483,0.07582332,0.17972589,0.45721456
TXX22,0.13862722,0.15321578,0.08607353,0.16558716,0.45649636
TXX23,0.34289464,0.046516106,0.20557572,0.12624179,0.2787718
TXX24,0.18104282,0.19242647,0.25870124,0.09714524,0.27068427
TXX25,0.63464266,0.010523527,0.23900834,0.06155033,0.054275192
TXX26,0.168707,0.090786695,0.07391018,0.14398253,0.5226136
TXX28,0.16417977,0.13601467,0.22266062,0.136613,0.3405319
TXX29,0.1550624,0.13154018,0.09739654,0.15679415,0.45920676
TXX30,0.11745403,0.2863061,0.09609291,0.09958499,0.40056193
TXX32,0.19713502,0.117161274,0.15485835,0.14516932,0.38567612
TXX33,0.1836871,0.190457,0.15888092,0.1092421,0.3577329
TXX34,0.20015964,0.32361844,0.203305,0.056754164,0.21616276
TXX35,0.5492711,0.019443111,0.37283182,0.027629202,0.030824844
TXX36,0.40205163,0.0176438,0.4440461,0.07094373,0.06531474
TXX37,0.18035935,0.11566977,0.1407977,0.13449922,0.42867398
TXX38,0.16556464,0.15758607,0.08475562,0.20332544,0.38876823
TXX40,0.17833841,0.18938127,0.12634476,0.1546597,0.3512759
TXX42,0.20505983,0.05757954,0.087371744,0.15816082,0.49182802
TXX43,0.18691498,0.16580375,0.07042128,0.26992825,0.30693185
TXX44,0.15941828,0.13242748,0.21769263,0.13864625,0.35181537
TXX45,0.19088323,0.12199082,0.33706504,0.11499896,0.23506191
TXX46,0.3969055,0.04241996,0.23671558,0.13407208,0.18988684
TXX47,0.17622708,0.120901234,0.23065692,0.13748364,0.3347311
TXX48,0.13922402,0.1798346,0.16984315,0.07927861,0.43181965
TXX49,0.16503206,0.15004654,0.15664186,0.09158897,0.43669054
TXX5,0.305886,0.049991228,0.30757874,0.117929794,0.21861428
TXX50,0.18212903,0.16457126,0.07091851,0.26060355,0.32177773
TXX51,0.30487677,0.086226024,0.09443268,0.24776061,0.26670378
TXX52,0.3687511,0.031542275,0.4545962,0.07448149,0.070628986
TXX53,0.26559836,0.03902402,0.11663434,0.23943523,0.33930802
TXX54,0.2684333,0.03824799,0.11259374,0.24305435,0.33767056
TXX55,0.33227113,0.055224784,0.14687116,0.16147895,0.30415395
TXX56,0.24279854,0.046130568,0.23736577,0.14682196,0.3268831
TXX57,0.1708715,0.12714164,0.4334543,0.028534606,0.239998
TXX58,0.13614127,0.1371833,0.0966125,0.1411645,0.4888985
TXX59,0.26581427,0.049861703,0.26015764,0.11381643,0.31034994
TXX60,0.24367264,0.09526012,0.1334483,0.22892126,0.2986976
TXX61,0.15603705,0.15125626,0.39880583,0.046384126,0.24751672
TXX62,0.16708435,0.08269062,0.09396339,0.12496364,0.53129804
TXX63,0.16926931,0.20748502,0.11412864,0.14032917,0.36878785
TXX64,0.1841981,0.30190945,0.24281873,0.1484422,0.12263148
TXX65,0.13526905,0.1521011,0.082845345,0.16508763,0.46469688
TXX66,0.19008256,0.074301146,0.20379357,0.07865493,0.4531678
TXX67,0.21837269,0.13334695,0.08173695,0.29501218,0.2715313
TXX68,0.34119812,0.06584255,0.30614388,0.0868076,0.2000078
TXX69,0.19329369,0.10960024,0.3298585,0.13531156,0.23193598
TXX70,0.29381713,0.06201151,0.09205174,0.37029126,0.18182835
TXX72,0.15778288,0.20751445,0.15831237,0.15776081,0.31862947
TXX73,0.21988226,0.054167256,0.09011185,0.16916592,0.46667272
TXX74,0.22471066,0.11853588,0.12128613,0.20431831,0.33114904
TXX75,0.1960479,0.07698284,0.18470612,0.09367769,0.44858545
TXX76,0.18475866,0.17112467,0.06885166,0.27433756,0.3009275
TXX77,0.18588085,0.17429084,0.16117588,0.10520445,0.3734479
TXX78,0.3381077,0.037391033,0.32047993,0.10973214,0.19428924
TXX79,0.17996298,0.11968241,0.07410126,0.19059458,0.43565878
TXX8,0.1727765,0.06655687,0.0771023,0.12662613,0.55693823
TXX80,0.19372912,0.17035209,0.11303569,0.2089188,0.31396422
TXX81,0.19212729,0.15928099,0.07258775,0.27109632,0.3049076
TXX82,0.18137898,0.11533049,0.07476103,0.1882963,0.44023317
TXX83,0.1784608,0.18849398,0.121924125,0.13750648,0.37361464
TXX84,0.15129055,0.17679334,0.11107459,0.15605775,0.4047837
TXX85,0.11904974,0.31067133,0.09811017,0.09962795,0.3725409
TXX86,0.1564935,0.1209724,0.13033222,0.116442576,0.4757593
TXX87,0.23396447,0.098930985,0.111435026,0.21426803,0.3414015
TXX88,0.15327011,0.16171703,0.13545556,0.11293388,0.4366234
TXX89,0.67437345,0.06721064,0.17276613,0.034020584,0.0516292
TXX9,0.12673429,0.29703122,0.10601098,0.09721427,0.37300932
TXX90,0.29973254,0.06823729,0.3056658,0.12880197,0.19756247
TXX91,0.16787279,0.19122401,0.111462325,0.13424584,0.39519507
TXX93,0.19218686,0.14061253,0.080190726,0.24469428,0.34231555
TXX94,0.28909317,0.083388805,0.1654829,0.18679519,0.27524
TXX95,0.24581996,0.07287579,0.101597935,0.2351694,0.34453696
TXX96,0.17593978,0.107468836,0.23352416,0.14177427,0.34129298
TXX97,0.19356753,0.16252635,0.14511311,0.13679348,0.36199954
TXX98,0.18918397,0.22187181,0.34262526,0.040567566,0.20575128
TXX99,0.17424494,0.09235325,0.07540231,0.15320179,0.50479776
TZX1,0.18931732,0.13537772,0.13524742,0.15143673,0.38862082
TZX10,0.22721279,0.1053413,0.10140598,0.20556374,0.36047617
TZX100,0.20500113,0.11544749,0.116663024,0.1759516,0.3869368
TZX101,0.18412149,0.17235033,0.06847963,0.27508444,0.2999641
TZX102,0.15113354,0.18123424,0.07706886,0.21362832,0.376935
TZX103,0.17724045,0.16245231,0.087238066,0.22238414,0.35068512
TZX104,0.2110582,0.093986325,0.12888524,0.15369782,0.4123724
TZX106,0.1742849,0.08880952,0.21085586,0.13087203,0.39517766
TZX107,0.2465523,0.09957479,0.14421518,0.19451413,0.31514362
TZX108,0.2581759,0.108464636,0.12406999,0.18775451,0.32153493
TZX109,0.20041497,0.14878547,0.0877805,0.23440807,0.32861096
TZX11,0.14748454,0.17581265,0.06573944,0.24209099,0.36887237
TZX111,0.123495705,0.2730138,0.09010139,0.13008645,0.38330275
TZX112,0.32884657,0.029946532,0.32197684,0.113656804,0.20557325
TZX114,0.12042417,0.15957348,0.10295099,0.1196653,0.49738607
TZX115,0.19127667,0.111892916,0.11294021,0.16373542,0.42015475
TZX116,0.28331208,0.030868953,0.3175514,0.13230552,0.23596202
TZX117,0.14124161,0.22759104,0.074194595,0.189459,0.36751372
TZX118,0.17881873,0.1707561,0.08190239,0.24411069,0.32441205
TZX12,0.13978687,0.08006681,0.14270128,0.08341433,0.5540307
TZX120,0.18157369,0.12578279,0.10854351,0.17020889,0.41389114
TZX121,0.18245427,0.17383064,0.068744086,0.27348486,0.30148616
TZX13,0.15594263,0.1533926,0.07117481,0.21741867,0.4020713
TZX14,0.1715877,0.12110661,0.3017001,0.111668065,0.2939375
TZX15,0.12570144,0.14437146,0.102749795,0.119164556,0.5080127
TZX16,0.14304787,0.11045716,0.121996135,0.10853688,0.515962
TZX17,0.13840139,0.14016505,0.13472894,0.09784813,0.48885646
TZX18,0.16707067,0.10605784,0.22388367,0.074815534,0.42817223
