SampleID,Env,Contribution
TQ45,Pupils,0.12973267
TQ46,Pupils,0.09325622
TQ48,Pupils,0.12659638
TQ49,Pupils,0.12717234
TQ5,Pupils,0.20394588
TQ50,Pupils,0.15330239
TQ51,Pupils,0.1382098
TQ53,Pupils,0.15301213
TQ54,Pupils,0.10230994
TQ55,Pupils,0.10499367
TQ56,Pupils,0.114187755
TQ57,Pupils,0.15501152
TQ58,Pupils,0.15491015
TQ59,Pupils,0.15059584
TQ6,Pupils,0.073033
TQ61,Pupils,0.09524231
TQ63,Pupils,0.12517738
TQ65,Pupils,0.151809
TQ66,Pupils,0.118316144
TQ67,Pupils,0.10668391
TQ68,Pupils,0.15554896
TQ69,Pupils,0.14137731
TQ7,Pupils,0.16089515
TQ70,Pupils,0.13351734
TQ71,Pupils,0.110561356
TQ72,Pupils,0.1576473
TQ73,Pupils,0.109321594
TQ74,Pupils,0.15396006
TQ75,Pupils,0.16859719
TQ76,Pupils,0.15356225
TQ77,Pupils,0.12552546
TQ78,Pupils,0.099412695
TQ79,Pupils,0.14088568
TQ8,Pupils,0.14457366
TQ80,Pupils,0.12147697
TQ81,Pupils,0.12733746
TQ82,Pupils,0.16604199
TQ85,Pupils,0.114627525
TQ86,Pupils,0.1520654
TQ87,Pupils,0.16489126
TQ89,Pupils,0.15547246
TQ9,Pupils,0.16826965
TQ90,Pupils,0.16547734
TQ92,Pupils,0.13036983
TQ93,Pupils,0.1311505
TQ94,Pupils,0.12997319
TQ95,Pupils,0.15992822
TQ96,Pupils,0.16749023
TQ97,Pupils,0.15709324
TQ98,Pupils,0.1276675
TQ99,Pupils,0.1508391
TZ20,Pupils,0.29799053
TZ7,Pupils,0.19387293
TZ95,Pupils,0.17410533
TZ55,Pupils,0.3132377
TZ86,Pupils,0.28382087
TZ114,Pupils,0.1409474
TZ66,Pupils,0.1560197
TZ15,Pupils,0.1791009
TZ109,Pupils,0.14238206
TZ85,Pupils,0.18588763
TZ115,Pupils,0.22402273
TZ71,Pupils,0.14325336
TZ62,Pupils,0.17791528
TZ64,Pupils,0.14121157
TZ112,Pupils,0.28328824
TZ63,Pupils,0.22253916
TZ93,Pupils,0.20312141
TZ74,Pupils,0.18047552
TZ65,Pupils,0.124364704
TZ45,Pupils,0.21363866
TZ11,Pupils,0.15280128
TZ53,Pupils,0.17715266
TZ44,Pupils,0.17143159
TZ34,Pupils,0.14602455
TZ59,Pupils,0.15497036
TZ73,Pupils,0.07432407
TZ94,Pupils,0.11928544
TZ16,Pupils,0.1915074
TZ102,Pupils,0.289284
TZ38,Pupils,0.16116749
TZ24,Pupils,0.18524936
TZ58,Pupils,0.1614405
TZ28,Pupils,0.19213217
TZ83,Pupils,0.11153125
TZ33,Pupils,0.12108274
TZ29,Pupils,0.17039311
TZ22,Pupils,0.21063223
TZ107,Pupils,0.16817357
TZ12,Pupils,0.13188206
TZ32,Pupils,0.07922547
TZ78,Pupils,0.162733
TZ6,Pupils,0.13127558
TZ111,Pupils,0.18411538
TZ47,Pupils,0.13346931
TZ88,Pupils,0.13950314
TZ30.1,Pupils,0.28292316
TZ108,Pupils,0.31531802
TZ19,Pupils,0.16896588
TZ40,Pupils,0.18407102
TZ91,Pupils,0.1824018
TZ52,Pupils,0.4060144
TZ37,Pupils,0.18337472
TZ101,Pupils,0.11497238
TZ57,Pupils,0.13663745
TZ81,Pupils,0.21898095
TZ13,Pupils,0.09227614
TZ89,Pupils,0.14641292
TZ4,Pupils,0.18003315
TZ87,Pupils,0.13589157
TZ3,Pupils,0.16438816
TZ5,Pupils,0.15497853
TZ8,Pupils,0.25639918
TZ26,Pupils,0.18824542
TZ75,Pupils,0.24044204
TZ80,Pupils,0.26088032
TZ60,Pupils,0.27350107
TZ30,Pupils,0.21752384
TZ56,Pupils,0.15821666
TZ41,Pupils,0.17295358
TZ76,Pupils,0.15566748
TZ9,Pupils,0.2660402
TZ50,Pupils,0.29572618
TZ77,Pupils,0.17196608
