Samples	TL18	TL87	TL23	TL63	TL120	TL6	TL14	TL92	TL81	TL57	TL71	TL73	TL96	100a	TL91	TL59	TL16	TL77	TL30	TL102	TL117	TL2	TL109	TL64	TL76	TL112
k__Bacteria;p__Firmicutes;c__Lactobacillales;o__Bacilli;f__Lactobacillaceae;g__Lactobacillus;s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Ruminococcaceae;g__Subdoligranulum;s__	0.0013814331673759259	0.0005819945438011519	0.0005713016155140128	0.002441378527224209	0.009822868916609431	0.015754010990528262	0.0036799592658596993	0.0005588038870943562	0.003943908851884312	0.0016351001498841804	0.0013657470636438134	0.0006756186132927963	0.028885784142507857	0.00029063430938022235	0.003362535897342688	0.0023363449509811174	0.0066941440070814075	0.007275188224346502	0.00011669389524222317	0.004562159422126472	0.002711314847942755	7.358487095053257e-05	0.0017918450532766145	0.009681757059614524	0.01930968782060677	0.010707051220218
k__Bacteria;p__Bacteroidetes;c__Bacteroidales;o__Bacteroidia;f__Bacteroidaceae;g__Bacteroides;s__	0.00025032681556476507	0.00657168839042134	0.0005395626368743454	0.02052461250212911	1.5972144579852738e-05	9.665037417502002e-05	0.0010877867012289676	0.08959943301849503	0.027477521342552016	8.175500749420902e-05	0.00030528463775567587	1.6890465332319907e-05	0.00047153335661893116	0.003366514083654242	0.01047838889090843	0.004036849187454714	0.00012447788442919975	0.010419310267038885	0.00026672890341079586	0.007635280699531111	5.5903398926654734e-05	5.518865321289943e-05	0.1288076707382128	0.03729269385925594	0.050820753334310416	0.0001607665348381081
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Peptostreptococcaceae;g__Incertae_Sedis;s__	0.0008715081727069602	0.030882085480448625	0.000253911829117339	0.010361664679498098	0.0042166461690811225	0.024645845414630104	0.001203508690721411	0.0012947894944869227	0.004057519394942708	0.006158877231230413	0.01409129617430146	0.006587281479604763	0.002357666783094656	0.0003390733609435928	0.001226871205787197	0.0027355937717183964	0.06329008879422422	0.00878380283675944	0.00048344613743206747	0.004324546952224053	0.0016910778175313061	0.007689619014330655	0.0010258654885171457	0.0004930524428507396	0.0017343299623821388	0.003665476994308865
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Lachnospiraceae;g__Dorea;s__	0.002586710427502573	0.014865110639587753	0.00060304059415368	0.004400158973485494	0.002363877397818205	0.01286830696158838	0.005207489527159951	0.006801052186831309	0.004528191644756062	0.002452650224826271	0.0015585584138052926	0.0004729330293049573	0.004855047153335661	0.0020344401656615567	0.006116180159220619	0.0020406050837683174	0.009792260241763714	0.011857428869525986	0.0002000466775580969	0.003912685337726525	0.0034520348837209303	0.006346695119483435	0.0019559835314393575	0.00307784252203795	0.007828912013288388	0.003022410854956432
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiales;o__Verrucomicrobiae;f__Verrucomicrobiaceae;g__Akkermansia;s__	4.635681769717873e-05	0.00035162170354652924	3.1738978639667385e-05	0.0045988758303525815	1.5972144579852738e-05	5.522878524286858e-05	0.0002545883768833754	1.3629363099862344e-05	0.00019476093095725	0.00027251669164736345	0.0003374198627825891	0.0	0.0013622074746769124	0.0	3.6351739430731764e-05	4.436098008191994e-05	0.011313656607009488	0.00470913346304599	0.0003667522421898442	0.00017424914459510834	0.0011040921288014312	0.0	0.00015046027164918136	0.00097116390258479	1.2213591284381261e-05	0.00038583968361145945
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Lachnospiraceae;g__Blautia;s__	0.0005562818123661447	0.003043346468626857	0.00060304059415368	0.0006813149378300119	0.0017729080483636535	0.01558832463479966	0.008447705232948365	0.0022761036376770113	0.0022722108611679163	0.00498705545714675	0.0008194482381862879	0.0017397179292289505	0.003510303877052043	7.265857734505559e-05	0.0012995746846486606	0.0011829594688511985	0.002641697325108573	0.0039336773538617715	6.668222585269898e-05	0.0019325814218730199	0.001774932915921288	0.003826413289427694	0.0009301180429222119	0.0008068130883012103	0.012079241780253066	0.0007716793672229189
k__Bacteria;p__Bacteroidetes;c__Bacteroidales;o__Bacteroidia;f__Bacteroidaceae;g__Bacteroides;s__	0.0006860809019182451	0.009493785995756291	0.0011743422096676928	0.016777380344064043	0.0077624622658084294	0.0003451799077679286	0.0074293517254148626	0.0070327513595289685	0.0011847956633232704	0.0008175500749420902	0.0031010492150971287	0.001418799087914872	0.0004889975550122249	0.0018406839594080745	0.0007452106583300011	0.00026616588049151966	1.383087604768886e-05	0.0005498688774215379	0.0013669856299803288	0.001837536433912052	0.007756596601073345	0.000386320572490296	0.020462596944288664	0.00017929179740026893	0.013031901900434805	0.01151088389440854
k__Bacteria;p__Bacteroidetes;c__Bacteroidales;o__Bacteroidia;f__Rikenellaceae;g__Alistipes;s__	0.0024569113379504727	0.002267353743558654	0.00044434570095534326	0.0635610060750582	0.0151735373508601	0.0005384806561179687	0.001481241465503275	0.0015264886671845824	0.010095108254617458	0.01632374982967707	0.0011729357134823335	0.00011823325732623933	0.001589242053789731	0.0028336845164571678	0.01831218873823113	0.021589010306534373	1.383087604768886e-05	0.005414093562304372	0.0005001166938952423	0.023887973640856677	0.001677101967799642	7.358487095053257e-05	0.026426294984201668	0.032959808755416105	0.022363085641702085	0.022571621491270382
k__Bacteria;p__Bacteroidetes;c__Bacteroidales;o__Bacteroidia;f__Bacteroidaceae;g__Bacteroides;s__	0.004700581314493923	0.0029827220369809033	0.0005395626368743454	0.007011866235167206	0.010110367519046782	0.0005108662634965344	0.008123683662369523	0.00459309536465361	0.003457006524491187	0.00027251669164736345	0.004820283754036986	0.0002195760493201588	0.0005239259517988125	0.0017195863304996489	0.012495910429314043	0.03285669924734204	0.02143785787391773	0.005103911118630685	0.00021671723402127163	0.002518692180965657	0.012186940966010732	0.0005702827498666273	0.007577726408513316	0.020080681308830117	0.0007938834334847817	0.01350438892640108
